Age,Attrition,Department,EmployeeNumber,Gender,JobRole,YearsAtCompany,MonthlyIncome,PerformanceRating
50.0,NO,RESEARCH & DEVELOPMENT,1539.0,MALE,RESEARCH DIRECTOR,,14411.0,3.0
31.0,NAN,RESEARCH & DEVELOPMENT,,MALE, research director ,2.0,13675.0,
,NO, sales ,481.0,MALE,SALES EXECUTIVE,,9699.0,3.0
45.0, no ,RESEARCH & DEVELOPMENT,1195.0, female , research scientist ,,,3.0
29.0, yes , research & development ,1421.0, female , healthcare representative ,,7553.0,3.0
36.0, no ,RESEARCH & DEVELOPMENT,373.0, male , laboratory technician ,15.0,3210.0,3.0
44.0, no , research & development ,1206.0, male ,RESEARCH SCIENTIST,0.0,2290.0,3.0
51.0,NAN,SALES,1282.0,MALE,MANAGER,29.0,19847.0,4.0
36.0, no ,SALES,513.0, male ,SALES EXECUTIVE,10.0,,3.0
42.0,NO, research & development ,, female , laboratory technician ,12.0,3673.0,3.0
42.0,NO,RESEARCH & DEVELOPMENT,1547.0,MALE, healthcare representative ,20.0,10124.0,3.0
24.0,NO, research & development ,812.0, male ,LABORATORY TECHNICIAN,,,3.0
51.0,NO,NAN,353.0, male , research scientist ,1.0,,3.0
36.0, no , research & development ,83.0,FEMALE,HEALTHCARE REPRESENTATIVE,,10096.0,3.0
53.0, no , research & development ,730.0,NAN,RESEARCH DIRECTOR,5.0,14814.0,3.0
34.0,NO, research & development ,153.0, female ,MANAGER,11.0,11631.0,3.0
45.0,NO,RESEARCH & DEVELOPMENT,372.0,MALE, healthcare representative ,20.0,13496.0,3.0
40.0,YES,RESEARCH & DEVELOPMENT,1534.0,MALE, laboratory technician ,5.0,2018.0,3.0
47.0,NO,RESEARCH & DEVELOPMENT,2000.0, female ,RESEARCH DIRECTOR,,11957.0,3.0
19.0,NO,RESEARCH & DEVELOPMENT,1193.0, male ,RESEARCH SCIENTIST,1.0,2552.0,4.0
37.0,NO, research & development ,1640.0,FEMALE, research scientist ,8.0,3936.0,3.0
46.0, no , sales ,1280.0,FEMALE,MANAGER,11.0,18789.0,3.0
43.0, nan ,RESEARCH & DEVELOPMENT,,MALE,RESEARCH DIRECTOR,4.0,17159.0,
19.0,YES,NAN,1248.0,FEMALE,RESEARCH SCIENTIST,1.0,1859.0,
27.0, yes , human resources ,1944.0, nan , human resources ,1.0,2863.0,3.0
26.0, no , nan ,1836.0, male ,NAN,5.0,4684.0,
57.0, no ,NAN,1483.0,MALE,RESEARCH SCIENTIST,,4900.0,4.0
31.0, yes , research & development ,587.0, male , healthcare representative ,,9824.0,
55.0,YES, sales ,1372.0, male ,SALES EXECUTIVE,19.0,13695.0,3.0
30.0, no , sales ,456.0, female ,SALES EXECUTIVE,10.0,6118.0,3.0
30.0, yes ,NAN,1017.0,NAN,LABORATORY TECHNICIAN,3.0,2422.0,3.0
56.0,YES, research & development ,161.0, female , research scientist ,5.0,4963.0,3.0
53.0,NO, sales ,23.0,FEMALE,MANAGER,25.0,15427.0,3.0
25.0, yes ,RESEARCH & DEVELOPMENT,1106.0,NAN, nan ,,3691.0,3.0
27.0,NO, sales ,1364.0, female ,SALES REPRESENTATIVE,1.0,2534.0,3.0
56.0, no ,RESEARCH & DEVELOPMENT,1441.0,FEMALE,RESEARCH SCIENTIST,3.0,2066.0,4.0
54.0,NAN, research & development ,1969.0, female ,RESEARCH SCIENTIST,4.0,2897.0,3.0
,NO,NAN,905.0, male , manager ,31.0,17924.0,3.0
27.0, no , research & development ,1648.0, male , research scientist ,4.0,2580.0,3.0
32.0, no ,RESEARCH & DEVELOPMENT,, male , nan ,7.0,2718.0,
38.0,NO, sales ,1583.0, nan , sales executive ,3.0,4198.0,3.0
27.0,NO,SALES,714.0,FEMALE,SALES EXECUTIVE,6.0,4647.0,4.0
32.0,NO,RESEARCH & DEVELOPMENT,1607.0, nan ,RESEARCH SCIENTIST,3.0,3312.0,3.0
34.0, yes ,HUMAN RESOURCES,590.0, female ,HUMAN RESOURCES,3.0,9950.0,3.0
37.0, nan , research & development ,139.0,MALE, nan ,1.0,5163.0,3.0
,NO, research & development ,517.0,FEMALE, laboratory technician ,5.0,2576.0,3.0
34.0, no , research & development ,256.0, male , manufacturing director ,,9547.0,3.0
,NO, research & development ,1635.0, female ,MANUFACTURING DIRECTOR,10.0,5770.0,3.0
55.0,NO, research & development ,1074.0, male ,MANAGER,9.0,16756.0,3.0
, yes ,SALES,1928.0, male , sales representative ,,1091.0,3.0
34.0, no ,RESEARCH & DEVELOPMENT,151.0, female ,NAN,1.0,4505.0,3.0
41.0, nan , research & development ,227.0, male , research scientist ,9.0,2451.0,3.0
23.0, no , research & development ,1592.0,MALE,RESEARCH SCIENTIST,2.0,2073.0,3.0
60.0, no , sales ,573.0, female , sales executive ,18.0,10266.0,3.0
37.0,NO, research & development ,306.0, male ,RESEARCH DIRECTOR,10.0,12185.0,3.0
35.0,NO,RESEARCH & DEVELOPMENT,105.0,MALE,RESEARCH SCIENTIST,6.0,2859.0,3.0
, no ,SALES,458.0,FEMALE, sales executive ,8.0,6214.0,3.0
31.0,YES,SALES,650.0, male ,SALES EXECUTIVE,3.0,4233.0,3.0
30.0,NO,SALES,1479.0,MALE, sales executive ,2.0,5301.0,3.0
30.0, no , research & development ,159.0,MALE,RESEARCH SCIENTIST,10.0,2613.0,4.0
39.0, no ,RESEARCH & DEVELOPMENT,721.0, female ,HEALTHCARE REPRESENTATIVE,20.0,4553.0,3.0
47.0,NO,SALES,903.0, female ,SALES EXECUTIVE,7.0,,4.0
28.0, no , research & development ,536.0, male ,NAN,10.0,4558.0,3.0
33.0,NAN,SALES,1268.0,MALE, sales executive ,,8380.0,3.0
30.0, no , research & development ,680.0, female ,RESEARCH SCIENTIST,,,
32.0,NO, research & development ,1234.0,FEMALE,LABORATORY TECHNICIAN,,2743.0,4.0
33.0,YES,RESEARCH & DEVELOPMENT,,FEMALE,RESEARCH SCIENTIST,13.0,4508.0,4.0
37.0,NO,RESEARCH & DEVELOPMENT,,MALE, research scientist ,1.0,3022.0,4.0
